,timestamp
0,2020-07-24 14:04:09.941368
1,2020-07-24 14:04:10.413082
2,2020-07-24 14:04:10.445020
3,2020-07-24 14:04:10.470858
4,2020-07-24 14:04:10.500913
5,2020-07-24 14:04:10.534380
6,2020-07-24 14:04:10.567595
7,2020-07-24 14:04:10.602261
8,2020-07-24 14:04:10.634113
9,2020-07-24 14:04:10.665457
10,2020-07-24 14:04:10.698485
11,2020-07-24 14:04:10.729563
12,2020-07-24 14:04:10.759481
13,2020-07-24 14:04:10.821314
14,2020-07-24 14:04:10.869187
15,2020-07-24 14:04:10.901548
16,2020-07-24 14:04:10.909116
17,2020-07-24 14:04:10.933754
18,2020-07-24 14:04:10.966075
19,2020-07-24 14:04:11.001930
20,2020-07-24 14:04:11.030047
21,2020-07-24 14:04:11.061927
22,2020-07-24 14:04:11.097926
23,2020-07-24 14:04:11.129700
24,2020-07-24 14:04:11.161881
25,2020-07-24 14:04:11.225715
26,2020-07-24 14:04:11.257715
27,2020-07-24 14:04:11.286699
28,2020-07-24 14:04:11.337845
29,2020-07-24 14:04:11.369855
30,2020-07-24 14:04:11.375846
31,2020-07-24 14:04:11.400130
32,2020-07-24 14:04:11.433290
33,2020-07-24 14:04:11.461919
34,2020-07-24 14:04:11.497592
35,2020-07-24 14:04:11.529590
36,2020-07-24 14:04:11.562428
37,2020-07-24 14:04:11.625133
38,2020-07-24 14:04:11.654203
39,2020-07-24 14:04:11.689631
40,2020-07-24 14:04:11.721962
41,2020-07-24 14:04:11.754352
42,2020-07-24 14:04:11.802371
43,2020-07-24 14:04:11.834513
44,2020-07-24 14:04:11.840548
45,2020-07-24 14:04:11.864120
46,2020-07-24 14:04:11.893187
47,2020-07-24 14:04:11.925829
48,2020-07-24 14:04:11.962678
49,2020-07-24 14:04:12.025617
50,2020-07-24 14:04:12.058617
51,2020-07-24 14:04:12.091222
52,2020-07-24 14:04:12.121811
53,2020-07-24 14:04:12.153731
54,2020-07-24 14:04:12.185723
55,2020-07-24 14:04:12.217775
56,2020-07-24 14:04:12.266445
57,2020-07-24 14:04:12.298719
58,2020-07-24 14:04:12.305748
59,2020-07-24 14:04:12.328051
60,2020-07-24 14:04:12.359609
61,2020-07-24 14:04:12.425626
62,2020-07-24 14:04:12.454447
63,2020-07-24 14:04:12.487567
64,2020-07-24 14:04:12.522853
65,2020-07-24 14:04:12.549741
66,2020-07-24 14:04:12.582626
67,2020-07-24 14:04:12.617113
68,2020-07-24 14:04:12.646659
69,2020-07-24 14:04:12.679854
70,2020-07-24 14:04:12.730375
71,2020-07-24 14:04:12.757243
72,2020-07-24 14:04:12.764225
73,2020-07-24 14:04:12.822019
74,2020-07-24 14:04:12.854679
75,2020-07-24 14:04:12.890833
76,2020-07-24 14:04:12.922863
77,2020-07-24 14:04:12.954666
78,2020-07-24 14:04:12.986784
79,2020-07-24 14:04:13.018689
80,2020-07-24 14:04:13.051024
81,2020-07-24 14:04:13.077080
82,2020-07-24 14:04:13.110142
83,2020-07-24 14:04:13.142646
84,2020-07-24 14:04:13.193418
85,2020-07-24 14:04:13.221963
86,2020-07-24 14:04:13.258505
87,2020-07-24 14:04:13.290656
88,2020-07-24 14:04:13.318075
89,2020-07-24 14:04:13.350197
90,2020-07-24 14:04:13.386488
91,2020-07-24 14:04:13.418688
92,2020-07-24 14:04:13.450689
93,2020-07-24 14:04:13.482727
94,2020-07-24 14:04:13.512105
95,2020-07-24 14:04:13.545794
96,2020-07-24 14:04:13.573808
97,2020-07-24 14:04:13.608124
98,2020-07-24 14:04:13.659423
99,2020-07-24 14:04:13.686119
100,2020-07-24 14:04:13.718389
101,2020-07-24 14:04:13.755354
102,2020-07-24 14:04:13.786593
103,2020-07-24 14:04:13.819222
104,2020-07-24 14:04:13.850640
105,2020-07-24 14:04:13.882497
106,2020-07-24 14:04:13.911410
107,2020-07-24 14:04:13.942121
108,2020-07-24 14:04:13.975649
109,2020-07-24 14:04:14.010488
110,2020-07-24 14:04:14.043211
111,2020-07-24 14:04:14.074710
112,2020-07-24 14:04:14.122694
113,2020-07-24 14:04:14.154689
114,2020-07-24 14:04:14.187746
115,2020-07-24 14:04:14.219657
116,2020-07-24 14:04:14.250570
117,2020-07-24 14:04:14.282749
118,2020-07-24 14:04:14.314808
119,2020-07-24 14:04:14.344128
120,2020-07-24 14:04:14.378667
121,2020-07-24 14:04:14.410201
122,2020-07-24 14:04:14.442754
123,2020-07-24 14:04:14.475431
124,2020-07-24 14:04:14.506627
125,2020-07-24 14:04:14.538649
126,2020-07-24 14:04:14.586704
127,2020-07-24 14:04:14.619393
128,2020-07-24 14:04:14.650711
129,2020-07-24 14:04:14.682945
130,2020-07-24 14:04:14.715218
131,2020-07-24 14:04:14.744651
132,2020-07-24 14:04:14.779271
133,2020-07-24 14:04:14.810847
134,2020-07-24 14:04:14.837770
135,2020-07-24 14:04:14.869887
136,2020-07-24 14:04:14.902414
137,2020-07-24 14:04:14.938341
138,2020-07-24 14:04:14.970880
139,2020-07-24 14:04:15.002754
140,2020-07-24 14:04:15.050755
141,2020-07-24 14:04:15.082786
142,2020-07-24 14:04:15.115120
143,2020-07-24 14:04:15.146701
144,2020-07-24 14:04:15.178643
145,2020-07-24 14:04:15.210648
146,2020-07-24 14:04:15.240044
147,2020-07-24 14:04:15.274147
148,2020-07-24 14:04:15.305705
149,2020-07-24 14:04:15.338670
150,2020-07-24 14:04:15.370715
151,2020-07-24 14:04:15.402744
152,2020-07-24 14:04:15.434614
153,2020-07-24 14:04:15.461222
154,2020-07-24 14:04:15.512037
155,2020-07-24 14:04:15.546636
156,2020-07-24 14:04:15.578805
157,2020-07-24 14:04:15.610676
158,2020-07-24 14:04:15.642917
159,2020-07-24 14:04:15.675633
160,2020-07-24 14:04:15.706649
161,2020-07-24 14:04:15.738624
162,2020-07-24 14:04:15.770623
163,2020-07-24 14:04:15.797542
164,2020-07-24 14:04:15.829806
165,2020-07-24 14:04:15.861619
166,2020-07-24 14:04:15.896527
167,2020-07-24 14:04:15.925700
168,2020-07-24 14:04:15.976818
169,2020-07-24 14:04:16.006507
170,2020-07-24 14:04:16.041680
171,2020-07-24 14:04:16.070444
172,2020-07-24 14:04:16.106675
173,2020-07-24 14:04:16.133520
174,2020-07-24 14:04:16.167269
